ci_high,ci_low,difference_left_minus_right,left,left_value_common,metric,n_common,patients_common,positives_common,right,right_value_common,task
-0.007728222469350853,-0.09216109070862642,-0.05107975700568301,BigMHC,0.5458288293413741,auroc,17475,70,465,PRIME,0.5969085863470571,immunogenicity
-0.0006004169764923337,-0.01684074393543032,-0.007777390300958836,BigMHC,0.03186133541911459,average_precision,17475,70,465,PRIME,0.039638725720073424,immunogenicity
0.04918032786885246,-0.2419354838709677,-0.09999999999999998,BigMHC,0.38333333333333336,hitrate@10,17475,70,465,PRIME,0.48333333333333334,immunogenicity
0.01694915254237284,-0.2142857142857143,-0.09999999999999998,BigMHC,0.6,hitrate@20,17475,70,465,PRIME,0.7,immunogenicity
0.0,-0.2712249614791988,-0.1333333333333333,BigMHC,0.21666666666666667,hitrate@5,17475,70,465,PRIME,0.35,immunogenicity
0.05702018960577634,-0.11850015573659703,-0.03203773806400151,BigMHC,0.179799793455899,mrr,17475,70,465,PRIME,0.2118375315199005,immunogenicity
0.006436910910518223,-0.07374672633536174,-0.03415586559133667,BigMHC,0.07780339513492723,ndcg@10,17475,70,465,PRIME,0.1119592607262639,immunogenicity
-0.008579696667541232,-0.08653882964682626,-0.047763979656067365,BigMHC,0.10393761632591698,ndcg@20,17475,70,465,PRIME,0.15170159598198435,immunogenicity
0.00877791891781991,-0.08595963282450478,-0.03908382471995869,BigMHC,0.05999687767867254,ndcg@5,17475,70,465,PRIME,0.09908070239863123,immunogenicity
-0.005084745762711867,-0.05,-0.026666666666666665,BigMHC,0.05333333333333334,precision@10,17475,70,465,PRIME,0.08,immunogenicity
-0.005930957128614168,-0.038709677419354833,-0.02166666666666666,BigMHC,0.04916666666666667,precision@20,17475,70,465,PRIME,0.07083333333333333,immunogenicity
-0.019991803278688575,-0.09526455026455029,-0.056666666666666664,BigMHC,0.04666666666666667,precision@5,17475,70,465,PRIME,0.10333333333333333,immunogenicity
-0.002983728978855778,-0.1139294619720491,-0.055536084619369014,BigMHC,0.07884220626867686,recall@10,17475,70,465,PRIME,0.13437829088804587,immunogenicity
-0.044587732168660715,-0.18672131749168178,-0.1142441337758675,BigMHC,0.1458033270024836,recall@20,17475,70,465,PRIME,0.2600474607783511,immunogenicity
0.009519246331934279,-0.04917484913513216,-0.02087212965162149,BigMHC,0.03804563492063492,recall@5,17475,70,465,PRIME,0.058917764572256406,immunogenicity
