analysis,predictor,task,n,positives,auroc,average_precision,brier,positive_bearing_patients,recall@5,recall@5_ci_low,recall@5_ci_high,recall@10,recall@10_ci_low,recall@10_ci_high,recall@20,recall@20_ci_low,recall@20_ci_high,mrr,mrr_ci_low,mrr_ci_high,ndcg@10,ndcg@10_ci_low,ndcg@10_ci_high
lopo,HLA+peptide LR LOPO,immunogenicity_lopo,17475,465,0.6343847705018554,0.048847085547106955,0.22095052445497734,60,0.04839984194907063,0.028931813873515802,0.07098937274366873,0.11347464221009647,0.07920138861801178,0.15131370600958288,0.2058372635824728,0.1467512378960372,0.27260545253593144,0.2573270202401471,0.17795666686469974,0.3501566270224843,0.11260430106055445,0.08190702933382508,0.14707441473983568
lopo,HLA-only LR LOPO,immunogenicity_lopo,17475,465,0.562322289861119,0.03802950148325792,0.23778504070669454,60,0.02957906339490109,0.020945991528068243,0.03866865680927789,0.05915812678980218,0.041891983056136485,0.07733731361855578,0.1213465566099074,0.08801942393136673,0.1571333573184266,0.13187818435593066,0.10467394675931603,0.16028572770788288,0.05544322396267425,0.04119796486339959,0.07054402478431306
lopo,Peptide LR LOPO,immunogenicity_lopo,17475,465,0.6283226185735147,0.046875818599155246,0.2315662714794123,60,0.05441761648224497,0.03067369187594145,0.08196883451387557,0.11818160611644385,0.07487030838281003,0.1695856625358405,0.21154286614806259,0.1498828567235124,0.27921652448615836,0.25012340938813493,0.16489485232637913,0.3407651677673918,0.11701709766513434,0.07973516861136304,0.15770223305487585
loso,HLA+peptide LR LOSO,immunogenicity_loso,17475,465,0.5948543235162113,0.0426919329134588,0.2142312584425444,60,0.05494364536787404,0.032344317029017015,0.08176557698829703,0.10033729693119038,0.06724116940543567,0.13652403572874383,0.17187665795824758,0.12316646584867588,0.22754633873561375,0.2580132196089212,0.17480786981057655,0.351349033211747,0.10690719591544118,0.07503033534947685,0.14328269624121007
loso,HLA-only LR LOSO,immunogenicity_loso,17475,465,0.5459065192518,0.032614680056597,0.22803682898199915,60,0.029807067723740994,0.020964407981600153,0.03939838375027081,0.05961413544748199,0.041928815963200305,0.07879676750054163,0.11937446972537334,0.08415439230628707,0.15759353500108325,0.12138679992279434,0.09698718047878145,0.14526019724613878,0.0509966130685172,0.03843058440469185,0.06472673985684142
loso,Peptide LR LOSO,immunogenicity_loso,17475,465,0.6188880671078999,0.04488912649824684,0.23390551228481943,60,0.04305045836052295,0.02527920915795235,0.06365037318351202,0.10534099765083538,0.06879727429126495,0.147457152822977,0.19087821976360195,0.1367886756440708,0.2514072175838134,0.2060379930533435,0.1352055610991902,0.2849394291461813,0.10329449749236344,0.06941784501263985,0.141213716893653
