predictor,task,predicted,coverage,auroc,average_precision,ndcg@5,ndcg@5_ci_low,ndcg@5_ci_high,recall@5,mrr
BigMHC,immunogenicity,2315,1.0,0.5500606504033733,0.14754790613734112,0.6583767475453979,0.6059728978229252,0.7072963500052366,0.8155549497152551,0.6584093387528502
DeepHLApan,immunogenicity,2315,1.0,0.4879357041543922,0.1314033972926639,0.5802316782057277,0.5239223012484198,0.6354722798195015,0.7255967526959893,0.5897825033321217
DeepImmuno-CNN,immunogenicity,1015,0.43844492440604754,0.5257315351282925,0.158108723061618,0.7545680595608422,0.6910151347990755,0.8161056332431506,0.925,0.7125054112554112
MHCflurry,presentation,2315,1.0,0.5393377232672918,0.1529322425063102,0.599140629038995,0.5431843806689207,0.6537232377315397,0.7730613110384102,0.5944962162519415
PRIME,immunogenicity,2310,0.9978401727861771,0.5309238584591199,0.1480477456423677,0.6035588234319573,0.5458672325340596,0.66016501911583,0.7697151470407284,0.6062507690414667
