predictor,n,raw_auroc,raw_average_precision,within_hla_rank_auroc,within_hla_rank_average_precision,between_hla_mean_auroc,between_hla_mean_average_precision,score_variance_explained_by_hla,within_hla_permutation_p_auroc,within_hla_permutation_p_average_precision
MHCflurry,520,0.7518703976435935,0.19384262541738242,0.7548748159057438,0.17396558469827847,0.6115758468335788,0.09308082202166909,0.041226474027762645,0.0001999600079984003,0.0001999600079984003
BigMHC,520,0.8744035346097202,0.37509834450277035,0.8867746686303387,0.4049155823486225,0.5160235640648012,0.06883247026061771,0.36620146434898415,0.0001999600079984003,0.0001999600079984003
PRIME,520,0.7813254786450663,0.1771870893112871,0.771340206185567,0.19608288889258235,0.5664506627393225,0.08440684322757672,0.1100381397858184,0.0001999600079984003,0.0005998800239952009
