predictor,n,raw_auroc,raw_average_precision,within_hla_rank_auroc,within_hla_rank_average_precision,between_hla_mean_auroc,between_hla_mean_average_precision,score_variance_explained_by_hla,within_hla_permutation_p_auroc,within_hla_permutation_p_average_precision
MHCflurry,17475,0.5367554822274058,0.0316977826002111,0.5460786507620439,0.03365352005478959,0.46550258228872327,0.02446294847181484,0.11208113907317835,0.0009995002498750624,0.0024987506246876563
BigMHC,17475,0.5458288293413741,0.03186133541911459,0.5754794459931856,0.038271579353578125,0.4802540567534594,0.026005725582357874,0.3253019194683956,0.0004997501249375312,0.0004997501249375312
PRIME,17475,0.5969085863470571,0.039638725720073424,0.602875538108513,0.04111460343913175,0.50505262559026,0.02614285471598406,0.05964362009344574,0.0004997501249375312,0.0004997501249375312
